Source,Target,Type
92589,9403,Directed
92589,44511,Directed
92589,28963,Directed
92589,15356,Directed
92589,70703,Directed
92589,79175,Directed
92589,59699,Directed
92589,58039,Directed
58039,79897,Directed
58039,44268,Directed
58039,20757,Directed
58039,61255,Directed
58039,35183,Directed
58039,8982,Directed
4066,83355,Directed
83355,6288,Directed
83355,3820,Directed
83355,75646,Directed
83355,89967,Directed
83355,51330,Directed
83355,63095,Directed
83355,47733,Directed
83355,64117,Directed
64117,24483,Directed
64117,40098,Directed
64117,38784,Directed
64117,8456,Directed
64117,70700,Directed
64117,99887,Directed
4066,34084,Directed
34084,89898,Directed
34084,85,Directed
34084,49393,Directed
34084,76993,Directed
34084,62403,Directed
34084,66024,Directed
34084,76142,Directed
34084,4488,Directed
4488,64064,Directed
4488,82761,Directed
4488,98880,Directed
4488,14552,Directed
4488,95879,Directed
4488,16478,Directed
2142,28035,Directed
28035,30244,Directed
30244,26906,Directed
30244,26292,Directed
30244,23708,Directed
30244,72439,Directed
30244,1589,Directed
30244,21796,Directed
30244,98281,Directed
30244,50326,Directed
50326,27730,Directed
50326,24126,Directed
50326,98201,Directed
50326,11253,Directed
50326,53469,Directed
50326,2839,Directed
28035,68019,Directed
68019,62623,Directed
68019,99142,Directed
68019,88553,Directed
68019,11481,Directed
68019,45350,Directed
68019,95837,Directed
68019,69028,Directed
68019,55061,Directed
55061,34270,Directed
55061,27952,Directed
55061,8517,Directed
55061,98975,Directed
55061,518,Directed
55061,77495,Directed
28035,5188,Directed
5188,81173,Directed
5188,35091,Directed
5188,95171,Directed
5188,46187,Directed
5188,26387,Directed
5188,74533,Directed
5188,71067,Directed
5188,20113,Directed
20113,95619,Directed
20113,96052,Directed
20113,45375,Directed
20113,31094,Directed
20113,85632,Directed
20113,41803,Directed
28035,26916,Directed
26916,80044,Directed
26916,70175,Directed
26916,97801,Directed
26916,53375,Directed
26916,47357,Directed
26916,48606,Directed
26916,46309,Directed
26916,65861,Directed
65861,92709,Directed
65861,18798,Directed
65861,25179,Directed
65861,18308,Directed
65861,1682,Directed
65861,72173,Directed
28035,57032,Directed
57032,91655,Directed
57032,10116,Directed
57032,22066,Directed
57032,43395,Directed
57032,13160,Directed
57032,56840,Directed
57032,98167,Directed
57032,70075,Directed
70075,71578,Directed
70075,52810,Directed
70075,24846,Directed
70075,53108,Directed
70075,42494,Directed
70075,86998,Directed
28035,56108,Directed
56108,64492,Directed
56108,14138,Directed
56108,35410,Directed
56108,47767,Directed
56108,20657,Directed
56108,32017,Directed
56108,69062,Directed
56108,4128,Directed
4128,31348,Directed
4128,21558,Directed
4128,28829,Directed
4128,46151,Directed
4128,98039,Directed
4128,95582,Directed
28035,21862,Directed
21862,19655,Directed
21862,20578,Directed
21862,96852,Directed
21862,40063,Directed
21862,79688,Directed
21862,42556,Directed
21862,58990,Directed
21862,12609,Directed
12609,55483,Directed
12609,43768,Directed
12609,57348,Directed
12609,43691,Directed
12609,22834,Directed
12609,3218,Directed
28035,5428,Directed
5428,73164,Directed
5428,93726,Directed
5428,37103,Directed
5428,89765,Directed
5428,1801,Directed
5428,91494,Directed
5428,53781,Directed
5428,94175,Directed
94175,1466,Directed
94175,81987,Directed
94175,21341,Directed
94175,38708,Directed
94175,10003,Directed
94175,34146,Directed
2142,60404,Directed
60404,70955,Directed
70955,69836,Directed
70955,35281,Directed
70955,95020,Directed
70955,27772,Directed
70955,55363,Directed
70955,17465,Directed
70955,21631,Directed
70955,95736,Directed
95736,12199,Directed
95736,17939,Directed
95736,71755,Directed
95736,38181,Directed
95736,64779,Directed
95736,41296,Directed
60404,36314,Directed
36314,29161,Directed
36314,84991,Directed
36314,50812,Directed
36314,36163,Directed
36314,54205,Directed
36314,77371,Directed
36314,69655,Directed
36314,65661,Directed
65661,41205,Directed
65661,7910,Directed
65661,19473,Directed
65661,68025,Directed
65661,95447,Directed
65661,54657,Directed
60404,58613,Directed
58613,13202,Directed
58613,725,Directed
58613,26446,Directed
58613,75256,Directed
58613,93163,Directed
58613,14471,Directed
58613,45437,Directed
58613,44088,Directed
44088,38661,Directed
44088,13542,Directed
44088,85238,Directed
44088,27647,Directed
44088,49742,Directed
44088,93205,Directed
60404,26846,Directed
26846,12404,Directed
26846,12289,Directed
26846,49807,Directed
26846,15823,Directed
26846,73004,Directed
26846,21983,Directed
26846,1480,Directed
26846,65707,Directed
65707,41937,Directed
65707,70074,Directed
65707,49522,Directed
65707,25598,Directed
65707,77409,Directed
65707,95002,Directed
60404,65097,Directed
65097,41574,Directed
65097,9799,Directed
65097,99282,Directed
65097,94939,Directed
65097,59918,Directed
65097,24447,Directed
65097,62728,Directed
65097,24929,Directed
24929,65803,Directed
24929,96348,Directed
24929,38319,Directed
24929,45181,Directed
24929,23834,Directed
24929,67163,Directed
60404,70317,Directed
70317,37755,Directed
70317,31879,Directed
70317,95840,Directed
70317,52084,Directed
70317,84885,Directed
70317,32733,Directed
70317,58324,Directed
70317,11149,Directed
11149,76776,Directed
11149,77172,Directed
11149,5160,Directed
11149,55402,Directed
11149,77222,Directed
11149,25657,Directed
60404,84446,Directed
84446,91680,Directed
84446,51554,Directed
84446,248,Directed
84446,69414,Directed
84446,24269,Directed
84446,34465,Directed
84446,6328,Directed
84446,46334,Directed
46334,32348,Directed
46334,78614,Directed
46334,31245,Directed
46334,22729,Directed
46334,11381,Directed
46334,59724,Directed
60404,2703,Directed
2703,64655,Directed
2703,95451,Directed
2703,23614,Directed
2703,44694,Directed
2703,5596,Directed
2703,15221,Directed
2703,32540,Directed
2703,81180,Directed
81180,93160,Directed
81180,13502,Directed
81180,7726,Directed
81180,98987,Directed
81180,68242,Directed
81180,1455,Directed
2142,99784,Directed
99784,9962,Directed
9962,46357,Directed
9962,4057,Directed
9962,9644,Directed
9962,50796,Directed
9962,77160,Directed
9962,44424,Directed
9962,92179,Directed
9962,74392,Directed
74392,90169,Directed
74392,41958,Directed
74392,32457,Directed
74392,41807,Directed
74392,61513,Directed
74392,61924,Directed
99784,90611,Directed
90611,57611,Directed
90611,99830,Directed
90611,35491,Directed
90611,60903,Directed
90611,21001,Directed
90611,95932,Directed
90611,84753,Directed
90611,87942,Directed
87942,9948,Directed
87942,5028,Directed
87942,60129,Directed
87942,20966,Directed
87942,23178,Directed
87942,76949,Directed
99784,50019,Directed
50019,73384,Directed
50019,55036,Directed
50019,73124,Directed
50019,16152,Directed
50019,57860,Directed
50019,78937,Directed
50019,95147,Directed
50019,66304,Directed
66304,18609,Directed
66304,49754,Directed
66304,24311,Directed
66304,15559,Directed
66304,74606,Directed
66304,41059,Directed
99784,74119,Directed
74119,54753,Directed
74119,62953,Directed
74119,19477,Directed
74119,18060,Directed
74119,45216,Directed
74119,7301,Directed
74119,74403,Directed
74119,33983,Directed
33983,4368,Directed
33983,13312,Directed
33983,44195,Directed
33983,94967,Directed
33983,33331,Directed
33983,24704,Directed
99784,86751,Directed
86751,15726,Directed
86751,97204,Directed
86751,22313,Directed
86751,93430,Directed
86751,54334,Directed
86751,21710,Directed
86751,21306,Directed
86751,74695,Directed
74695,58185,Directed
74695,87499,Directed
74695,56817,Directed
74695,36370,Directed
74695,57781,Directed
74695,7266,Directed
99784,53658,Directed
53658,13144,Directed
53658,34994,Directed
53658,34572,Directed
53658,10424,Directed
53658,30888,Directed
53658,18764,Directed
53658,57686,Directed
53658,97019,Directed
97019,83216,Directed
97019,88184,Directed
97019,46141,Directed
97019,79959,Directed
97019,65510,Directed
97019,90266,Directed
99784,61740,Directed
61740,11810,Directed
61740,30429,Directed
61740,44692,Directed
61740,74158,Directed
61740,89335,Directed
61740,853,Directed
61740,56256,Directed
61740,48853,Directed
48853,90754,Directed
48853,34607,Directed
48853,44710,Directed
48853,340,Directed
48853,77361,Directed
48853,79783,Directed
99784,88399,Directed
88399,63773,Directed
88399,88801,Directed
88399,84082,Directed
88399,33075,Directed
88399,91482,Directed
88399,30009,Directed
88399,14193,Directed
88399,47909,Directed
47909,31987,Directed
47909,80285,Directed
47909,7312,Directed
47909,36481,Directed
47909,39823,Directed
47909,29208,Directed
2142,22762,Directed
22762,61178,Directed
61178,14593,Directed
61178,91947,Directed
61178,15166,Directed
61178,37236,Directed
61178,86513,Directed
61178,88129,Directed
61178,96970,Directed
61178,25688,Directed
25688,72996,Directed
25688,58730,Directed
25688,34439,Directed
25688,5391,Directed
25688,81637,Directed
25688,58607,Directed
22762,49083,Directed
49083,93978,Directed
49083,2883,Directed
49083,24020,Directed
49083,45716,Directed
49083,96634,Directed
49083,54844,Directed
49083,10682,Directed
49083,4459,Directed
4459,96776,Directed
4459,2615,Directed
4459,58207,Directed
4459,45605,Directed
4459,6523,Directed
4459,68074,Directed
22762,92092,Directed
92092,45474,Directed
92092,82892,Directed
92092,13232,Directed
92092,86130,Directed
92092,18667,Directed
92092,64446,Directed
92092,18622,Directed
92092,17483,Directed
17483,36336,Directed
17483,91252,Directed
17483,36429,Directed
17483,76413,Directed
17483,3733,Directed
17483,48258,Directed
22762,25991,Directed
25991,90322,Directed
25991,55022,Directed
25991,61460,Directed
25991,59993,Directed
25991,99950,Directed
25991,47870,Directed
25991,55581,Directed
25991,5279,Directed
5279,84466,Directed
5279,47502,Directed
5279,87211,Directed
5279,22332,Directed
5279,81527,Directed
5279,13041,Directed
22762,62892,Directed
62892,49171,Directed
62892,72518,Directed
62892,600,Directed
62892,90703,Directed
62892,11816,Directed
62892,63136,Directed
62892,97761,Directed
62892,1084,Directed
1084,14747,Directed
1084,91057,Directed
1084,43650,Directed
1084,79048,Directed
1084,86133,Directed
1084,58101,Directed
22762,60644,Directed
60644,991,Directed
60644,67951,Directed
60644,95642,Directed
60644,6035,Directed
60644,14085,Directed
60644,85084,Directed
60644,83339,Directed
60644,40133,Directed
40133,92075,Directed
40133,48065,Directed
40133,72330,Directed
40133,94288,Directed
40133,65098,Directed
40133,19990,Directed
22762,50198,Directed
50198,15542,Directed
50198,2363,Directed
50198,21127,Directed
50198,48193,Directed
50198,6581,Directed
50198,10055,Directed
50198,65057,Directed
50198,90496,Directed
90496,295,Directed
90496,34236,Directed
90496,80351,Directed
90496,49286,Directed
90496,17688,Directed
90496,83562,Directed
22762,19794,Directed
19794,36646,Directed
19794,50989,Directed
19794,18430,Directed
19794,60815,Directed
19794,42901,Directed
19794,18786,Directed
19794,14090,Directed
19794,19272,Directed
19272,35193,Directed
19272,41397,Directed
19272,47301,Directed
19272,29778,Directed
19272,49134,Directed
19272,73209,Directed
2142,7627,Directed
7627,58555,Directed
58555,52721,Directed
58555,61442,Directed
58555,67080,Directed
58555,34491,Directed
58555,28910,Directed
58555,14585,Directed
58555,74499,Directed
58555,8345,Directed
8345,65277,Directed
8345,92154,Directed
8345,15148,Directed
8345,6436,Directed
8345,87882,Directed
8345,65714,Directed
7627,8552,Directed
8552,44761,Directed
8552,28394,Directed
8552,35624,Directed
8552,78322,Directed
8552,69671,Directed
8552,47026,Directed
8552,67348,Directed
8552,60592,Directed
60592,77369,Directed
60592,55662,Directed
60592,75062,Directed
60592,49198,Directed
60592,70237,Directed
60592,14848,Directed
7627,48821,Directed
48821,7500,Directed
48821,67766,Directed
48821,99729,Directed
48821,62351,Directed
48821,69075,Directed
48821,49367,Directed
48821,47180,Directed
48821,97372,Directed
97372,89234,Directed
97372,25545,Directed
97372,98149,Directed
97372,54625,Directed
97372,82438,Directed
97372,99255,Directed
7627,12398,Directed
12398,24110,Directed
12398,64101,Directed
12398,12322,Directed
12398,61798,Directed
12398,62895,Directed
12398,76107,Directed
12398,96107,Directed
12398,27298,Directed
27298,14487,Directed
27298,50922,Directed
27298,71604,Directed
27298,87581,Directed
27298,68268,Directed
27298,66962,Directed
7627,87764,Directed
87764,24829,Directed
87764,58627,Directed
87764,31346,Directed
87764,38301,Directed
87764,617,Directed
87764,65185,Directed
87764,99347,Directed
87764,99087,Directed
99087,43936,Directed
99087,82572,Directed
99087,58184,Directed
99087,83031,Directed
99087,17562,Directed
99087,27029,Directed
7627,39722,Directed
39722,56113,Directed
39722,38066,Directed
39722,24140,Directed
39722,787,Directed
39722,14237,Directed
39722,96190,Directed
39722,55249,Directed
39722,69208,Directed
69208,32810,Directed
69208,2486,Directed
69208,81787,Directed
69208,98372,Directed
69208,89838,Directed
69208,66880,Directed
7627,96609,Directed
96609,85302,Directed
96609,98581,Directed
96609,64865,Directed
96609,58819,Directed
96609,9341,Directed
96609,20149,Directed
96609,80676,Directed
96609,9479,Directed
9479,70374,Directed
9479,42755,Directed
9479,3162,Directed
9479,77207,Directed
9479,97685,Directed
9479,26775,Directed
7627,4473,Directed
4473,96706,Directed
4473,83996,Directed
4473,78207,Directed
4473,79672,Directed
4473,23230,Directed
4473,98352,Directed
4473,17035,Directed
4473,4127,Directed
4127,5680,Directed
4127,74669,Directed
4127,87059,Directed
4127,72875,Directed
4127,30734,Directed
4127,39125,Directed
4127,44475,Directed
