Source,Target,Type
0,23204,Directed
23204,75779,Directed
75779,33902,Directed
75779,6885,Directed
23204,57950,Directed
57950,10260,Directed
57950,71292,Directed
0,24660,Directed
24660,22439,Directed
22439,39560,Directed
22439,15242,Directed
24660,89531,Directed
89531,98354,Directed
89531,13877,Directed
