Source,Target,Type
51072,13175,Directed
51072,85251,Directed
51072,89999,Directed
45958,12221,Directed
12221,52916,Directed
12221,28494,Directed
12221,98032,Directed
12221,42600,Directed
12221,7087,Directed
12221,57557,Directed
12221,51096,Directed
12221,21673,Directed
45958,26532,Directed
26532,94488,Directed
26532,28311,Directed
26532,39474,Directed
26532,52158,Directed
26532,40468,Directed
26532,41429,Directed
26532,10706,Directed
26532,98376,Directed
45958,87377,Directed
87377,8866,Directed
87377,31205,Directed
87377,61254,Directed
87377,48034,Directed
87377,15256,Directed
87377,71167,Directed
87377,37861,Directed
87377,52223,Directed
45958,65651,Directed
65651,9953,Directed
65651,37283,Directed
65651,57357,Directed
65651,34655,Directed
65651,52881,Directed
65651,54331,Directed
65651,31454,Directed
65651,87666,Directed
45958,82399,Directed
82399,62070,Directed
82399,19869,Directed
82399,98939,Directed
82399,49680,Directed
82399,87590,Directed
82399,75863,Directed
82399,65108,Directed
82399,7420,Directed
45958,15015,Directed
15015,30824,Directed
15015,33510,Directed
15015,974,Directed
15015,49481,Directed
15015,67523,Directed
15015,24674,Directed
15015,40210,Directed
15015,10204,Directed
10204,55524,Directed
10204,34483,Directed
10204,73711,Directed
56255,26035,Directed
26035,69295,Directed
69295,69834,Directed
69295,76107,Directed
69295,41789,Directed
69295,78024,Directed
69295,84120,Directed
69295,81833,Directed
69295,25401,Directed
69295,87297,Directed
26035,65963,Directed
65963,54415,Directed
65963,88228,Directed
65963,75347,Directed
65963,68970,Directed
65963,94532,Directed
65963,89946,Directed
65963,74855,Directed
65963,23522,Directed
26035,88933,Directed
88933,61360,Directed
88933,56444,Directed
88933,16684,Directed
88933,94540,Directed
88933,58754,Directed
88933,40629,Directed
88933,23880,Directed
88933,72673,Directed
26035,60455,Directed
60455,26699,Directed
60455,42339,Directed
60455,61227,Directed
60455,56875,Directed
60455,3619,Directed
60455,20314,Directed
60455,43447,Directed
60455,75528,Directed
26035,85229,Directed
85229,46268,Directed
85229,12710,Directed
85229,60283,Directed
85229,60918,Directed
85229,15684,Directed
85229,59378,Directed
85229,85318,Directed
85229,86326,Directed
26035,18810,Directed
18810,15208,Directed
18810,81481,Directed
18810,6335,Directed
18810,37977,Directed
18810,75981,Directed
18810,98205,Directed
18810,7888,Directed
18810,63999,Directed
26035,74448,Directed
74448,87373,Directed
74448,95042,Directed
74448,9057,Directed
74448,73504,Directed
74448,58873,Directed
74448,21644,Directed
74448,87032,Directed
74448,11131,Directed
26035,1136,Directed
1136,66258,Directed
1136,3343,Directed
1136,57677,Directed
1136,91077,Directed
1136,33588,Directed
1136,197,Directed
1136,20440,Directed
1136,93699,Directed
93699,69184,Directed
93699,62915,Directed
93699,20118,Directed
56255,98857,Directed
98857,22004,Directed
22004,20284,Directed
22004,46125,Directed
22004,54675,Directed
22004,35908,Directed
22004,57957,Directed
22004,30313,Directed
22004,48440,Directed
22004,42877,Directed
98857,58493,Directed
58493,71560,Directed
58493,91375,Directed
58493,23422,Directed
58493,80335,Directed
58493,11138,Directed
58493,80463,Directed
58493,2572,Directed
58493,17435,Directed
98857,3167,Directed
3167,74144,Directed
3167,6408,Directed
3167,70784,Directed
3167,25236,Directed
3167,79486,Directed
3167,2738,Directed
3167,92683,Directed
3167,36643,Directed
98857,21718,Directed
21718,82781,Directed
21718,55263,Directed
21718,10170,Directed
21718,18337,Directed
21718,81820,Directed
21718,97420,Directed
21718,37173,Directed
21718,44713,Directed
98857,62438,Directed
62438,89264,Directed
62438,14318,Directed
62438,99935,Directed
62438,43420,Directed
62438,76024,Directed
62438,63966,Directed
62438,41388,Directed
62438,35532,Directed
98857,55492,Directed
55492,46324,Directed
55492,38076,Directed
55492,31621,Directed
55492,40782,Directed
55492,5660,Directed
55492,99641,Directed
55492,36762,Directed
55492,72869,Directed
98857,62,Directed
62,43978,Directed
62,51454,Directed
62,88095,Directed
62,21623,Directed
62,80301,Directed
62,55478,Directed
62,78426,Directed
62,16648,Directed
98857,29256,Directed
29256,13873,Directed
29256,90492,Directed
29256,19023,Directed
29256,62353,Directed
29256,80741,Directed
29256,96813,Directed
29256,34025,Directed
29256,95973,Directed
95973,70476,Directed
95973,2660,Directed
95973,45348,Directed
56255,18834,Directed
18834,81163,Directed
81163,14667,Directed
81163,93400,Directed
81163,2662,Directed
81163,46976,Directed
81163,42442,Directed
81163,81214,Directed
81163,5326,Directed
81163,9884,Directed
18834,44355,Directed
44355,87807,Directed
44355,33060,Directed
44355,15962,Directed
44355,57985,Directed
44355,13058,Directed
44355,88441,Directed
44355,51969,Directed
44355,80598,Directed
18834,56019,Directed
56019,78849,Directed
56019,74504,Directed
56019,66833,Directed
56019,6052,Directed
56019,31757,Directed
56019,35537,Directed
56019,4089,Directed
56019,93694,Directed
18834,47999,Directed
47999,82081,Directed
47999,31778,Directed
47999,59355,Directed
47999,47014,Directed
47999,41563,Directed
47999,94513,Directed
47999,1541,Directed
47999,81427,Directed
18834,931,Directed
931,82296,Directed
931,91416,Directed
931,20068,Directed
931,91412,Directed
931,74402,Directed
931,91678,Directed
931,58857,Directed
931,8539,Directed
18834,83757,Directed
83757,19224,Directed
83757,14784,Directed
83757,11253,Directed
83757,91367,Directed
83757,53918,Directed
83757,34658,Directed
83757,92610,Directed
83757,70247,Directed
18834,70793,Directed
70793,70627,Directed
70793,78494,Directed
70793,84316,Directed
70793,1042,Directed
70793,43056,Directed
70793,22465,Directed
70793,12213,Directed
70793,42266,Directed
18834,55289,Directed
55289,59546,Directed
55289,8585,Directed
55289,35272,Directed
55289,75324,Directed
55289,27626,Directed
55289,23736,Directed
55289,92573,Directed
55289,96998,Directed
96998,42075,Directed
96998,11673,Directed
96998,57543,Directed
96998,23221,Directed
96998,57526,Directed
96998,27199,Directed
