Id,Degree,Depth
70125,3130,1
60503,2839,2
77149,1142,3
16033,1697,3
56107,291,2
66367,120,3
29880,171,3
1879,966,1
73109,454,2
73516,5,3
77395,449,3
94130,512,2
92087,44,3
41996,468,3
0,4096,0
