Id,Degree,Depth
52200,1520,1
93861,921,2
88099,233,3
76133,688,3
77484,599,2
51544,99,3
33099,500,3
88207,2576,1
90153,625,2
48491,463,3
41938,162,3
80086,1951,2
35781,552,3
26297,1399,3
0,4096,0
