Id,Degree,Depth
95594,1520,1
83580,827,2
48509,315,3
14751,512,3
5726,693,2
68881,558,3
95229,135,3
32948,2576,1
73595,1447,2
10640,1337,3
69904,110,3
21768,1129,2
6318,1060,3
78542,69,3
0,4096,0
