Source,Target,Type
63513,37357,Directed
63513,34624,Directed
63513,22601,Directed
63513,61653,Directed
63513,77162,Directed
16709,24355,Directed
24355,12414,Directed
24355,93461,Directed
24355,60688,Directed
24355,34958,Directed
24355,88837,Directed
24355,45902,Directed
24355,19421,Directed
16709,91127,Directed
91127,74664,Directed
91127,63720,Directed
91127,14415,Directed
16709,59841,Directed
59841,49507,Directed
59841,6822,Directed
59841,34828,Directed
59841,39914,Directed
59841,38545,Directed
59841,97062,Directed
59841,59781,Directed
16709,28489,Directed
28489,24155,Directed
28489,60087,Directed
28489,5534,Directed
28489,92623,Directed
28489,55817,Directed
28489,3044,Directed
16709,35840,Directed
35840,27587,Directed
35840,100,Directed
35840,53930,Directed
35840,65205,Directed
35840,47149,Directed
35840,54377,Directed
35840,33389,Directed
16709,37146,Directed
37146,53075,Directed
37146,60941,Directed
37146,91318,Directed
