Source,Target,Type
0,59356,Directed
59356,27329,Directed
27329,52524,Directed
27329,1888,Directed
59356,60401,Directed
60401,98253,Directed
60401,50045,Directed
0,43933,Directed
43933,89305,Directed
89305,1349,Directed
89305,5779,Directed
43933,11217,Directed
11217,98986,Directed
11217,1855,Directed
