Id,Degree,Depth
82346,2048,1
39796,1023,2
58696,511,3
87795,512,3
867,1025,2
67524,512,3
4930,513,3
12163,2048,1
94217,1023,2
43207,511,3
87094,512,3
84694,1025,2
12960,512,3
76045,513,3
0,4096,0
