Source,Target,Type
0,96261,Directed
96261,29918,Directed
29918,55006,Directed
29918,53666,Directed
96261,60644,Directed
60644,90601,Directed
60644,14497,Directed
0,66547,Directed
66547,4601,Directed
4601,72020,Directed
4601,18620,Directed
66547,92023,Directed
92023,12437,Directed
92023,2939,Directed
