Source,Target,Type
65389,31083,Directed
65389,58881,Directed
65389,47654,Directed
65389,31728,Directed
65389,19099,Directed
65389,97276,Directed
65568,53806,Directed
53806,4331,Directed
53806,24209,Directed
53806,47067,Directed
53806,35005,Directed
53806,97180,Directed
53806,96102,Directed
65568,57195,Directed
57195,98646,Directed
57195,86827,Directed
57195,2959,Directed
57195,32685,Directed
57195,70730,Directed
57195,48846,Directed
65568,99633,Directed
99633,65360,Directed
99633,85484,Directed
99633,5120,Directed
99633,76597,Directed
99633,78812,Directed
99633,69293,Directed
65568,617,Directed
617,74452,Directed
617,67789,Directed
617,71761,Directed
617,49478,Directed
617,72597,Directed
617,72740,Directed
65568,89720,Directed
89720,3838,Directed
89720,36344,Directed
89720,99539,Directed
89720,4763,Directed
89720,95997,Directed
89720,35174,Directed
65568,22473,Directed
22473,24825,Directed
22473,76842,Directed
22473,3998,Directed
22473,1001,Directed
22473,46438,Directed
22473,41026,Directed
22473,49556,Directed
22473,41969,Directed
41969,75010,Directed
41969,16393,Directed
41969,72460,Directed
3319,60818,Directed
60818,87867,Directed
87867,12588,Directed
87867,14839,Directed
87867,2626,Directed
87867,78757,Directed
87867,54223,Directed
87867,2494,Directed
60818,43453,Directed
43453,53369,Directed
43453,99023,Directed
43453,19299,Directed
43453,24692,Directed
43453,22646,Directed
43453,10286,Directed
60818,32726,Directed
32726,96247,Directed
32726,97010,Directed
32726,64133,Directed
32726,37188,Directed
32726,35875,Directed
32726,84920,Directed
60818,4664,Directed
4664,36401,Directed
4664,89914,Directed
4664,44779,Directed
4664,24872,Directed
4664,4372,Directed
4664,37040,Directed
60818,51858,Directed
51858,79256,Directed
51858,75166,Directed
51858,35469,Directed
51858,2418,Directed
51858,86672,Directed
51858,35701,Directed
60818,5729,Directed
5729,17998,Directed
5729,98650,Directed
5729,15687,Directed
5729,77735,Directed
5729,23369,Directed
5729,39302,Directed
60818,14471,Directed
14471,12564,Directed
14471,84820,Directed
14471,51848,Directed
14471,95754,Directed
14471,46362,Directed
14471,44604,Directed
60818,57893,Directed
57893,55144,Directed
57893,43512,Directed
57893,31693,Directed
57893,99963,Directed
57893,15734,Directed
57893,73038,Directed
57893,71572,Directed
57893,1368,Directed
1368,76527,Directed
1368,58205,Directed
1368,73364,Directed
3319,83641,Directed
83641,5848,Directed
5848,6676,Directed
5848,65897,Directed
5848,26972,Directed
5848,44309,Directed
5848,30987,Directed
5848,52083,Directed
83641,76411,Directed
76411,58478,Directed
76411,18909,Directed
76411,69796,Directed
76411,12953,Directed
76411,70033,Directed
76411,37327,Directed
83641,67551,Directed
67551,17952,Directed
67551,66547,Directed
67551,37193,Directed
67551,6110,Directed
67551,20824,Directed
67551,30682,Directed
83641,92763,Directed
92763,78120,Directed
92763,40085,Directed
92763,49521,Directed
92763,54980,Directed
92763,9250,Directed
92763,17456,Directed
83641,11370,Directed
11370,14792,Directed
11370,62702,Directed
11370,94221,Directed
11370,6912,Directed
11370,97798,Directed
11370,51686,Directed
83641,78104,Directed
78104,69658,Directed
78104,67877,Directed
78104,89559,Directed
78104,33687,Directed
78104,91332,Directed
78104,32998,Directed
83641,11828,Directed
11828,6142,Directed
11828,73357,Directed
11828,81202,Directed
11828,19961,Directed
11828,52479,Directed
11828,27835,Directed
83641,59029,Directed
59029,97432,Directed
59029,15422,Directed
59029,12726,Directed
59029,87112,Directed
59029,79709,Directed
59029,5257,Directed
59029,8892,Directed
59029,69006,Directed
69006,67355,Directed
69006,78487,Directed
69006,57213,Directed
