Id,Degree,Depth
62064,2047,1
71100,1021,2
25423,510,3
86773,511,3
62706,1026,2
82617,513,3
63953,513,3
45961,2049,1
93252,1024,2
8724,510,3
71677,514,3
86990,1025,2
62553,512,3
67293,513,3
0,4096,0
