Id,Degree,Depth
79339,3578,1
42147,3375,2
73109,1008,3
77404,2367,3
42411,203,2
77353,194,3
62522,9,3
88869,518,1
28857,271,2
54058,131,3
37605,140,3
77481,247,2
96701,121,3
4213,126,3
0,4096,0
