Source,Target,Type
24431,75154,Directed
24431,45749,Directed
24431,84858,Directed
55779,78391,Directed
78391,93364,Directed
78391,19360,Directed
78391,21869,Directed
78391,49550,Directed
55779,79963,Directed
79963,84034,Directed
79963,86897,Directed
79963,41691,Directed
79963,36832,Directed
55779,23914,Directed
23914,17711,Directed
23914,92011,Directed
23914,35246,Directed
23914,2701,Directed
55779,69588,Directed
69588,66118,Directed
69588,85084,Directed
69588,68430,Directed
69588,17476,Directed
69588,17626,Directed
69588,96056,Directed
69588,67662,Directed
69588,66925,Directed
66925,41238,Directed
66925,80573,Directed
