Id,Degree,Depth
4462,2048,1
29027,1024,2
1451,512,3
71269,512,3
81046,1024,2
34307,511,3
26208,513,3
63133,2048,1
12842,1024,2
59960,512,3
56354,512,3
84507,1024,2
20658,512,3
70427,512,3
0,4096,0
